,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
0,Redmi 14C 5G,Stargaze Black,,128,"14,999",10824,27
1,Realme Narzo 80 Lite 5G,Onyx Black,,128,"14,999",11875,20
2,realme Narzo 80 Lite 4G,Beach Gold,Redmi,128,"10,999",8284,24
3,redmi 13 5G,Hawaiian Blue,Realme,128,"17,999",13180,26
4,redmi 13 5G,Black Diamond,realme,128,"17,999",12984,27
5,,Cyber Green,redmi,,"1,799",934,48
6,IQOO Z10 Lite 5G,Cyber Green,redmi,128,"14,999",12601,15
7,IQOO Z10 Lite 5G,Titanium Blue,Micromax,128,"13,999",11602,17
8,IQOO Z10 Lite 5G,Titanium Blue,IQOO,128,"14,999",12601,15
9,IQOO Z10 Lite 5G,Sparkle Purple,IQOO,128,"13,999",11602,17
10,REDMI A4,Starry Black,IQOO,64,"10,999",8784,20
11,Redmi A4,Titanium,IQOO,64,"10,999",8784,20
12,IQOO Z10X 5G,Ultramarine,REDMI,128,"17,499",14604,16
13,IQOO Z10X 5G,stellar blue/ steller blue,Redmi,128,"17,499",14604,16
14,Lava Shark 5G,Midnight Blue,IQOO,64,"10,999",8617,21
15,,Blue,IQOO,,"1,899",924,51
16,HMD Crest 5G,Golden,Lava,128,"18,999",9620,49
17,ringme BOLD P70,Orchid Pink,Micromax,128,"9,999",5785,42
18,ringme BOLD P70,Nebula Noir,HMD,128,"9,999",5685,43
19,REDMI 13 5G,stellar gold /steller gold,ringme,128,"17,999",13180,26
20,ONEPLUS 13R 5G,Midnight Blue,ringme,256,"44,999",37984,15
21,Lava Shark 5G,Speed Blue,REDMI,64,"10,999",9085,17
22,hmd Crest 5G,Speed Blue,ONEPLUS,128,"18,999",10484,44
23,realme Narzo 50,Blazing Black,Lava,128,"17,999",17984,40
24,realme Narzo 50,Pantone Fluidity,hmd,64,"15,999",15984,27
25,,Silver Stardust,realme,,"2,099",1253,38
26,SAMSUNG M06 5G,Titanium Gold,,128,"15,499",11175,22
27,,Prism Blue,,,"2,099",1282,24
28,MOTOROLA g57 power 5G,Titanium Gold,realme,128,"17,999",13999,14
29,POCO C75 5G,Lake Green,Micromax,64,"10,999",8299,13
30,vivo T4 Lite 5G Charger in the Box,Matte Silver,SAMSUNG,128,"13,999",11999,11
31,vivo T4 Lite 5G Charger in the Box,Elegant Pink,Micromax,128,"14,999",12999,16
32,vivo T4 Lite 5G Charger in the Box,Elegant Pink,MOTOROLA,256,"16,999",14999,16
33,realme P4x 5G,Lake Green,POCO,128,"17,999",14999,16
34,realme P4x 5G,Matte Silver,vivo,128,"17,999",14999,13
35,realme P4x 5G,Prism Blue,vivo,128,"17,999",14999,13
36,realme P4x 5G,PANTONE Mykonos Blue,vivo,128,"18,999",16499,13
37,realme P4x 5G,Pantone Corsair,realme,128,"18,999",16499,11
38,realme P4x 5G,PANTONE Amazonite,realme,128,"18,999",16499,15
39,vivo T4 Lite 5G Charger in the Box,Lake Green,realme,256,"16,999",14999,22
40,MOTOROLA Edge 60 Fusion 5G,Matte Silver,realme,256,"25,999",21999,15
41,MOTOROLA g57 power 5G,Enchanted Green,realme,128,"17,999",13999,11
42,MOTOROLA Edge 60 Fusion 5G,Black,realme,256,"25,999",21999,11
43,realme P4x 5G,Obsidian,vivo,256,"20,999",18499,24
44,realme P4x 5G,Pantone Greener Pastures,MOTOROLA,256,"20,999",18499,7
45,POCO C75 5G,Pantone Regatta,MOTOROLA,64,"10,999",8299,20
46,Apple iPhone 16,Porcelain,MOTOROLA,128,"69,900",64900,17
47,Google Pixel 9A,Marine Blue,realme,256,"49,999",39999,22
48,MOTOROLA G96 5G,Glacial Teal,realme,256,"22,999",18999,20
49,MOTOROLA g57 power 5G,Glacial Teal,POCO,128,"17,999",13999,13
50,Google Pixel 9A,Pantone Walnut,Apple,256,"49,999",39999,13
51,vivo T4x 5G,Pronto Purple,Google,128,"17,999",15499,15
52,vivo T4x 5G,Pantone Dresden Blue,MOTOROLA,128,"17,999",15499,21
